emotion;reduction;valence
admires;admiration;positive
admiration;admiration;positive
admire;admiration;positive
agitated;agitation;neutral
agitation;agitation;neutral
amazed;amazement;positive
amazement;amazement;positive
angry;anger;negative
anger;anger;negative
annoyed;annoyed;negative
annoying;annoyed;negative
annoyance;annoyed;negative
anxious;anxious;negative
anxiety;anxious;negative
ashamed;shame;negative
shame;shame;negative
astonished;astonished;positive
astonishment;astonished;positive
bored;bored;neutral
boring;bored;neutral
boredem;bored;neutral
calms;calming;positive
calming;calming;positive
calmed;calming;positive
cheerful;cheerful;positive
cheerfulness;cheerful;positive
content;content;positive
contentment;content;positive
contented;content;positive
creepy;creeps;negative
creeps;creeps;negative
curious;curious;positive
curiosity;curious;positive
depressed;depressed;negative
desiring;desire;positive
desire;desire;positive
desperate;despair;negative
despair;despair;negative
disappointed;disappointed;negative
disappointing;disappointed;negative
disappointment;disappointed;negative
discontent;discontent;negative
discontented;discontent;negative
disgusted;disgust;negative
disgust;disgust;negative
disgusting;disgust;negative
dissatisfied;dissatisfied;negative
embarrassing;embarrased;negative
embarrased;embarrased;negative
embarrassment;embarrased;negative
enthusiastic;enthusiasm;negative
enthusiasm;enthusiasm;negative
envious;envy;negative
envy;envy;negative
euphoric;euphoric;positive
euphoria;euphoric;positive
excited;excited;positive
excitement;excited;positive
fascination;fascination;positive
fascinated;fascination;positive
fear;fear;negative
fearful;fear;negative
frightened;frightened;negative
fright;frightened;negative
frustrated;frustration;negative
frustration;frustration;negative
fury;fury;negative
furious;fury;negative
glad;glad;positive
grateful;grateful;positive
gratitude;grateful;positive
greedy;greedy;positive
greediness;greedy;positive
guilty;guilt;negative
guilt;guilt;negative
guilted;guilt;negative
happy;happy;positive
happiness;happy;positive
hope;hope;positive
hopeful;hope;positive
horrified;horror;negative
horror;horror;negative
interested;interested;positive
interest;interested;positive
irritated;irritated;negative
irritable;irritated;negative
jealous;jealous;negative
jealousy;jealous;negative
joy;joy;positive
joyful;joy;positive
listless;listless;negative
listlessness;listless;negative
lonely;lonely;negative
loneliness;lonely;negative
longing;longing;negative
love;love;positive
lustful;lust;positive
lust;lust;positive
mad;mad;negative
melancholy;melancholy;negative
nervous;nervous;negative
nervousness;nervous;negative
pity;pity;negative
pleasant;positive;positive
friendly;positive;positive
great;positive;positive
good;positive;positive
goodfeeling;positive;positive
lovely;positive;positive
funny;positive;positive
nice;positive;positive
super;positive;positive
comfortable;positive;positive
pleased;pleased;positive
proud;proud;positive
pride;proud;positive
rage;rage;negative
raging;rage;negative
relaxed;relaxed;positive
relaxation;relaxed;positive
relaxes;relaxed;positive
remorse;remorse;negative
remorseful;remorse;negative
sad;sad;negative
sadness;sad;negative
satisfied;satisfied;positive
satisfaction;satisfied;positive
scary;scared;negative
scared;scared;negative
secure;secure;positive
security;secure;positive
shocked;shock;negative
shock;shock;negative
sorrow;sorrow;negative
startled;startle;negative
startles;startle;negative
startle;startle;negative
surprised;surprise;neutral
surprise;surprise;neutral
unhappy;unhappy;negative
stupid;negative;negative
bad;negative;negative
dumb;negative;negative
terrible;negative;negative
unpleasant;negative;negative
unwell;negative;negative
uncomfortable;negative;negative
upset;upset;negative
worried;worried;negative
worry;worried;negative
worries;worried;negative
yearning;yearning;negative
yearn;yearning;negative
