word;reduction
angewidert;angewidert
angstig;ängstlich
Angst;ängstlich
Ängste;ängstlich
angsteinflössend;ängstlich
angsterfüllt;ängstlich
ängstlich;ängstlich
angstvoll;ängstlich
beängstigend;ängstlich
beängstigt;ängstlich
verängstigt;ängstlich
verängstlicht;ängstlich
angespannt;Anspannung
Ärger;Ärger
ärgerlich;Ärger
ärgerlich;Ärger
ärgert sich;Ärger
geärgert;Ärger
Verägerung;Ärger
verärgert;Ärger
Verärgerung;Ärger
ärgert sich;Ärger 
aufgeregt;aufgeregt
aufregend;aufgeregt
Aufregung;aufgeregt
aufgewühlt;aufgewühlt
bedauern;Bedauern
bedrückt;bedrückt
begehren;Begehren
begeistert;Begeisterung
Begeisterung;Begeisterung
Begierde;begierig
Gier;begierig
gierig;begierig
Giersucht;begierig
beruhigt;Beruhigung
Besorgnis;besorgt
besorgt;besorgt
Besorgtheit;besorgt
sich sorgend;besorgt
Sorge;besorgt
Sorgen;besorgt
sorgenbehaftet;besorgt
sorgend;besorgt
sorgenvoll;besorgt
sorglich;besorgt
sorgvoll;besorgt
bestürzt;bestürzt
betrübt;betrübt
beunruhigt;Beunruhigung
bewundernd;Bewunderung
bewundert;Bewunderung
Bewunderung;Bewunderung
bockig;bockig
dankbar;dankbar
Dankbarkeit;dankbar
deprimiert;deprimiert
Eifersucht;eifersüchtig
eifersüchtig;eifersüchtig
einsam;einsam
Einsamkeit;einsam
vereinsamt;einsam
eklig;Ekel
angeeckelt;Ekel
angeekelt;Ekel
eckelhaft;Ekel
ecklig;Ekel
Ekel;Ekel
Ekelgefühl;Ekel
ekelhaft;Ekel
ekelig;Ekel
ekelt ;Ekel
ekelt sich;Ekel
eklig;Ekel
geekelt;Ekel
verekelt;Ekel
entsetzt;entsetzt
entspannend;entspannt
entspannt;entspannt
enttäuschend;enttäuscht
enttäuscht;enttäuscht
Enttäuschung;enttäuscht
entzückt;Entzückung
verzückt;Entzückung
erleichtert;Erleichterung
erregt;Erregung
erschrecken;erschrocken
erschreckt;erschrocken
erschreckt sich;erschrocken
erschrocken;erschrocken
Schreck;erschrocken
schrecken;erschrocken
verschreckt;erschrocken
erstaunt;Erstaunen
euphorisch;euphorisch
fasziniert;Faszination
Faszination;Faszination
faszinierend;Faszination
erfreut;Freude
Freude;Freude
freudig;Freude
freudlich;Freude
freudvoll;Freude
freut;Freude
freut sich;Freude
gefreut;Freude
sich freuen;Freude
sich freut;Freude
froh;froh
fröhlich;fröhlich
Fröhlichkeit;fröhlich
Frust;frustriert
Frustration;frustriert
frustrierend;frustriert
frustriert;frustriert
gefrustet;frustriert
Furcht;Furcht
fürchtet sich;Furcht
geborgen;geborgen
Geborgenheit;geborgen
gelassen;Gelassenheit
genervt;genervt
genervtheit;genervt
nervt;genervt
geniert;genieren
geniert sich;genieren
gereizt;gereizt
beglückt;glücklich
Glück;glücklich
glücklich;glücklich
glückselig;glücklich
Glückseligkeit;glücklich
grantig;grantig
grimmig;grimmig
gruselig;Grusel
gruseligen;Grusel
gruselt sich;Grusel
gruselt sich;Grusel 
happy;happy
Hoffnung;Hoffnung
Hoffnungsvoll;Hoffnung
hofft;Hoffnung
Interesse;interessiert
interessiert;interessiert
bekümmert;Kummer
Kummer;Kummer
gelangweilt;langweilig
langweilig;langweilig
geliebt;Liebe
Liebe;Liebe
liebt;Liebe
verliebt;Liebe
Lust;Lust
lustvoll;Lust
keine Lust;lustlos
lostlos;lustlos
Lustlosigkeit;lustlos
leid tun;Mitleid
Mitleid;Mitleid
blöd;negativ
böse;negativ
doof;negativ
fürchterlich;negativ
mies;negativ
nicht fröhlich;negativ
nicht glücklich;negativ
nicht gut;negativ
nicht lieb;negativ
nicht lustig;negativ
nicht schön;negativ
nicht toll;negativ
nicht wohl;negativ
schlecht;negativ
schlimm;negativ
schrecklich;negativ
trübsinnig;negativ
unangenehm;negativ
unbehaglich;negativ
unfröhlich;negativ
ungut;negativ
unwohl;negativ
unwohlsein;negativ
mulmig;negativ 
nicht so;negativ 
schiete;negativ 
beneidet;neidisch
Neid;neidisch
Neiderfüllt;neidisch
neidig;neidisch
neidisch;neidisch
nervös;nervös
Neugierde;neugierig
neugierig;neugierig
niedergeschlagen;Niedergeschlagenheit
nostalgisch;Nostalgie
Panik;Panik
panisch;Panik
peinlich;peinlich
Peinlichkeit;peinlich
angenehm;positiv
bezaubert;positiv
doll;positiv
freundlich;positiv
großartig;positiv
gut;positiv
gutes Gefühl;positiv
hervorragend;positiv
klasse;positiv
lieb;positiv
lustig;positiv
nett;positiv
nicht schlecht;positiv
phantastisch;positiv
schön;positiv
sorglos;positiv
Spaß;positiv
spaßig;positiv
super;positiv
toll;positiv
überragend;positiv
verzaubert;positiv
wohl;positiv
wohlig;positiv
wunderbar;positiv
wundervoll;positiv
zauberhaft;positiv
word;reduction
bereuend;Reue
bereut;Reue
Reue;Reue
reuevoll;Reue
reuig;Reue
reumütig;Reue
sauer;sauer
beschämend;Scham
beschämt;Scham
geschämt;Scham
Scham;Scham
schämen;Scham
Schamgefühl;Scham
schamig;Scham
schämlich;Scham
schämt;Scham
schämt sich;Scham
Schamvoll;Scham
verschämt;Scham
geschockt;Schock
schockiert;Schock
Schuld;schuldig
schuldbewusst;schuldig
Schuldgefühl;schuldig
Schuldgefühle;schuldig
schuldhaft;schuldig
schuldig;schuldig
schuldvoll;schuldig
sehned;Sehnsucht
Sehnsucht;Sehnsucht
sehnsüchtig;Sehnsucht
sehnsuchtsvoll;Sehnucht
stolz;stolz
gestresst;Stress
riesen traurig;traurig
Trauer;traurig
traurig;traurig
Traurigkeit;traurig
überraschend;Überraschung
überrascht;Überraschung
Überraschung;Überraschung
unglücklich;unglücklich
Unzfriedenheit;unzufrieden
unzufrieden;unzufrieden
Verlangen;Verlangen
verlangend;Verlangen
verlegen;verlegen
Verlegenheit;verlegen
verzweifelt;verzweifelt
Verzweiflung;verzweifelt
Vorfreude;Vorfreude
Vorfreudig;Vorfreude
Wehmut;Wehmut
wehmütig;Wehmut
Wut;wütend
wütend;wütend
erzürnt;Zorn
Zorn;Zorn
zornig;Zorn
zufrieden;zufrieden
Zufriedenheit;zufrieden
zuversichtlich;Zuversicht
Ekelheit;Ekel
empört;Empörung
unheimlich;negativ
wütig;wütend
angewidert;angewidert
